year,sector,company,sentence,label
2014,Automobile,hyundai_motors,사진은 -7년 서울 모터쇼에 출품한 현대자동차 콘셉트카 HND -7 벤 에이스,I
2009,Aviation,asiana_air,이에 따라 국내여객 매출 액은 -7억 원으로 전년 대비 -7 -7 증가하였습니다,I
2008,Automobile,hyundai_motors,이를 위해 기존 글로벌경영 품질경영 브랜드 경영의 강화를 통한 경제적 가치 창출에 더욱 힘쓰면 서 국내외 환경규제 및 협약을 엄격히 준수할 뿐만 아니라 하이브리드차 및 수소 연료전지차와 같 은 친환경차의 개발과 보급을 적극 추진하여 에너지 위기와 지구 환경 문제 해결을 선도해 나가는 기 업이 될 것입니다,R
2011,Heavy industry,samsung_heavy_industries,우선 우리 회사의 경쟁력과 -7년도 경영 성과를 살펴보겠습니다,I
2017,Steel industry,posco,이 교육은 부서별로 자발적인 신청을 받아 운영하였으며 구룡포 패밀리 수 현원 월포수련관 고흥 패밀리 수련원 백운산 수련관 송도글로벌 리더 심 센터 등 사내외 시설에서 -7일간 운영하였습니다,I
2020,IT,naver,개선 가능성이 없는 경우 차후 재계약을 진행하지 않는 등의 방식으로 보호 수준을 유지하고 있습니다,S
2019,Heavy industry,hyundai_heavy_industries,IMO의 연료유 황 함량 규제 강화로 인한 저 유황 경유 및 벙커에 수요에 대비하여 고도화 공 정 규모를 늘리고 석유화학사업의 생산설비를 증대하여 경쟁력을 강화할 계획입니다,I
2012,Automobile,hyundai_motors,최근 전 세계적으로 환경에 대한 기업의 책임이 주요 이슈로 부상함에 따라 현대자동차 역시 자동 차의 온실가스 배출량을 저감하고 대체에너지로 전환하기 위해 지속적으로 하이브리드 자동차 및 대체연료차 연구개발을 강화하고 있다,E
2019,Automobile,kia_motors,당시 경험했던 서비스는 레이디 케어였고 늘어나고 있는 여성 운전자들의 의견을 반영하여 마련한 서비스라는 것을 알 게 되었습니다,S
2015,Automobile,hyundai_motors,현대자동차는 정도경영 투명 경영 문화를 현대자동차 고유의 회사 문화로 정착함으로써 율준수 프로그램 Compliance program을 실시하고 있습니다,G
2019,Finance,shinhan,또한 뉴욕증권거래소 NYSE의 상장기 업 사외이사 독립성 요건을 자발적으로 준수하고 있습니다,G
2010,Finance,kb,전행적으로 전기 절약을 실천할 수 있도록 구체적인 절약 방법을 제시하여 전파하였으며 매월 첫째 주 금요일을 에너 지 절감의 날로 지정하고 에너지 절감 실천 점검단을 운 영하여 절감 활동이 체질화되도록 노력하였습니다,E
2008,Aviation,korean_air,대한항공의 환경영향은 화석연료 사용에 따른 CO -7 NOX 등의 배출가스와 항공기 이착륙 시 발생하는 소음으로 크게 나눌 수 있습니다,R
2017,Steel industry,posco,외부에서 승진 축하 선물로 받은 화훼는 온라인 화훼경매를 실시하며 임직원뿐만 아니라 일반인도 경매 참여가 가능합니다,G
2011,Electronics,lg_electronics,지속 가능발전 리더십이라는 주제의 기조강연을 통해 지속 가능한 협력회사 관리에 대한 LG전자의 전략을 발표했으며 스마트그리드 신재생에너지에 대해 체험할 수 있는 전시 부 스를 마련 -7여 명의 참석자들에게 LG전자의 환경전략을 소 개 하였습니다,R
2015,Heavy industry,doosan_heavy_industries,대표이사 또는 이 사회에서 따로 정한 이사가 있을 때에는 그 이사가 소집을 하거나 재적이사 총수의 -7분의 -7 이상이 연명으로 회의의 목적사항 회의 소집 희망일자 등을 명시하여 이사회 소집을 청구할 수 있고 -7일 이내에 이사회를 소집하게 됩니다,G
2011,Aviation,asiana_air,협력 업체 선정 시에도 녹색 구매 품목 사용을 원칙으로 하고 있으며 사용 여부에 따라 업체 평가 리스트에 반영하고 있습니다,R
2019,Electronics,samsung_electronics,이사회 의장은 사내이사와 사외이사의 의견을 두루 청취하며 이사회가 기업 경영을 더욱 객관적으로 감독하도록 중재자 역할을 수 행하고 있으며 경영 위원회를 포함한 어떠한 위원회에도 속해 있지 않습니다,G
2013,Finance,bnk,부산은행은 -7년 금융 상품 구속행위로 인하여 금융위원회로부터 과태료 -7만 원을 부과 받았으며 내부통제 시스템의 재점검과 현장 점검 등의 재발방지 노력을 하고 있습니다,G
2012,Heavy industry,doosan_heavy_industries,ISAE -7에 따르면 제한적 확신의 업무는 합리적 확신을 제공하는 검증 업무와 비교하여 검 즉 범위가 제한되어 있습니다,I
2006,Electronics,lg_electronics,LG전자는 사회 공헌활동을 기업 경영의 일부로 인식하고 농경이 뜻을 모아 기업 시민으로서 사회적 책임을 다할 것을 선포함으로써 사회 공헌의 정신적 기틀을 마련했습니다,S
2018,Finance,shinhan,이전에는 고액 자산을 보유한 일부 고객들만 자산관리 서비스를 이용할 수 있었지만 알고리즘과 디지털 채널을 활 용하여 일반 고객에게도 양질의 서비스를 제공할 수 있게 되었습니다,S
2009,Electronics,lg_electronics,LG전자는 사회 환경 경제를 통합적이고 균형적으로 고려하는 지속 가능경영을 통해 깨끗한 환경 따뜻한 사회를 만들어가고 있습니다,R
2018,Finance,ibk,서버관리자는 분석 결과를 바탕으로 개인정보 보유현황 확인 및 삭제 조치를 수행하며 보안담당자는 전체 현황을 확인하여 개인정보 파일 삭제를 유도합니다,S
2020,Finance,kb,KB생명보험은 대표이사의 -7년 성과 지표에 친환경 상품개발 및 투자 활성화 탄소 배출 목표 수립 및 관리 프로세스 구축 등의 환경 성과와 관련한 지표를 비계량 평가 항목으로 추가하였습니다,R
2015,Heavy industry,doosan_heavy_industries,향후에는 동남아 남미 인도 등 두산중공업 보일러 BG 주력 시장 내 영업을 확대하고 Lentjes CFB APC 제품의 수주 확대를 추진할 것입니다,I
2013,Automobile,hyundai_motors,마북 캠퍼스의 특성은 크 게 환경과 프로그램으로 나눌 수 있습니다,I
2013,Steel industry,posco,또한 차세대 리더인 대학생에게 지속가능성 보고서에 대한 의견을 수렴 저는 -7년부터 철강 에너지 업종 관련 증권회사에서 일했으며 투자자 입 장에서 포스코에 대해 스터디하고 있습니다,R
2019,Finance,ibk,청탁금지법상 부패 빈발 분야의 직무 관련 법령 위반 또는 부정 청탁을 받아 업무를 처리한 행위를 신고하는 제도입니다,G
2018,Steel industry,posco,포스코는 정보보호 국제표준과 국내외 관련 법률을 준수하고 경쟁력의 원천인 핵심기술 및 인력 등 정보보호를 위해 관리 기술 물리보안 활동을 수행합니다,R
2017,Finance,shinhan,먼저 한도가 소진된 신 녹색기업 대출을 리모델링한 녹색환경경영 우수기 법 대출을 기존 녹색금융상품과 연계하여 -7년 출시하기로 결정하였습니다,E
2015,Automobile,hyundai_motors,현대자동차는 기후변화와 관련한 위기와 기회요인의 재무적 영향을 파악하여 대응해 나가고 있습니다,E
2014,Heavy industry,hyundai_heavy_industries,기업가치 극대화를 위해 열정적으로 업무를 수행하고 안전하고 보람 있는 일터를 위해 모두 최선의 노력을 다합니다,S
2012,Heavy industry,samsung_heavy_industries,-7년 -7월 풍력발전사업부가 개발하고 있는 풍력발전설비 저 풍속 한랭형 모델이 국제인증기관인 GL로부터 설계 인증을 받았습니다,E
2014,Automobile,kia_motors,기 나 자동차는 감사위원회의 원활한 활동을 위해 소속 위원들이 감사업무에 필요한 경영정보에 손쉽게 접근할 수 있도록 내부 장치를 마련하여 운영하고 있습니다,G
2019,Finance,ibk,IBK 기업은행은 친환경 투자자로부터 자금을 원활하게 조달하고 탄소경영에 대한 사회적 요구를 충족하기 위하여 탄소 정보공개 프로젝트에 참여하였습니다,E
2018,Automobile,kia_motors,특히 이사회 아래 주주 권익 보호 기구인 투명경영 위원회를 설치하여 이해관계자 소통 활성화와 주주 권익 향상에 심혈을 기울이며 발전된 모습을 보여주는 것은 매우 바람직합니다,G
2011,Electronics,lg_electronics,이외에도 ODDOptical Disk Drive 노트북 LCD TV 내 부품 대체를 확대해 나가고 있습니다,I
2007,Finance,shinhan,신한은행은 직원의 이해를 돕고 동참을 이끌어내기 위하여 Slim Simple 업무혁신 캠페인을 실시하여 혁 신 지향적 문화를 구축하기 시작하였습니다,S
2012,Aviation,korean_air,대한항공은 앞으로도 ERP에 축적된 실시간 데이터들의 활용을 통해 실시간 및 과거 데이터를 효과적으로 활용하여 빠른 의사 결정 혁신 생산성 향상 및 운영비용 절감을 달성할 것입니다,I
2016,Automobile,hyundai_motors,현대자동차는 자체 기 술개발 및 협력사와 기술교류를 통해 자동차에서 발생되는 플라스틱을 재활용하여 휠 가드 및 언더커버 등의 부품에 양산 적용하고 있습니다,E
2009,Steel industry,posco,임직원 간의 커뮤니케이션 활성화를 위해서는 중간 관리자와 최고 경영진을 잇는 영보다를 운영하고 있으며 사내인 트라 넷을 이용한 익명게시판 POSB을 통해 경영 전반에 대한 다양한 주제에 관해 토론하는 한편 고충을 개진하고 있습니다,S
2020,Finance,hana,하나금융지주 이사회는 당사 내 최고 의사결정기구이며 -7년 -7월 기준 사내이사 -7인 사외이사 -7인 감사위원 포함 총 -7인으로 구성되어 있습니다,G
2019,Heavy industry,doosan_heavy_industries,국내외 발전 시 장에서 기존 발전소를 대상으로 하는 OM 등 서비스 사업기회는 점차 확 다 될 전망입니다,I
2013,Automobile,hyundai_motors,-7년 CO 포집 및 자원화 기술이 상용화되면 그룹 및 그룹 계열사의 온실가스 저감 아이템으로 이를 활용할 수 있을 뿐만 아니라 바이오 소재 원 료 물질 전환 기술을 자동차 부품에 적용하는 등 다양한 부가가치 효과가 창출될 것으로 예상됩니다,E
2014,Automobile,hyundai_motors,리튬이온배터리 방전 장치 전기 차나 하이브리드 차에 장착되는 리튬이온배터리는 전압과 전류량 이 높아 폐기 시 위험 요소가 잔존합니다,E
2017,Steel industry,posco,특히 -7년 하반기부터는 프로젝트 수행자에게 절실히 필요한 역량 향상에 맞춰 PSSPOSCO Six Sigma Plus 과정을 대폭 개편하였습니다,I
2019,Heavy industry,doosan_heavy_industries,토양 Grass forestland coastal sandy plain EIA에서 파악된 생태계 종류는 아래와 같으나 EIA Report 상 관리 대상에 대한 언급 없음,E
2009,Automobile,hyundai_motors,해외 사업장에서는 현지인 채용을 원칙으로 하여 해당 지역 경제 활성화에 이바지하며 국적 문화 인종 언어 종교에 따른 차별 없이 표준화된 인사관리 기준을 적용합니다,S
2007,Automobile,kia_motors,특히 환율 문제는 단기적인 실적 악화뿐만 아니라 RD 투자를 위축시켜 기업의 잠재력을 감소시킴으로써 기업의 미래 경쟁력에도 영향을 미치게 됩니다,I
2019,Electronics,lg_electronics,LG전자의 친환경 고효율 인버터 기술을 바탕으로 코드 제로 A -7 트롬 세탁기 듀얼 인버터 히트 펌프 트롬 건조기 트롬 스타일러 플러스 디오스 전기레인지 디오스 김치냉장고 디오스 광파오븐 -7종이 올해의 녹색상품에 선정되었습니다,E
2018,Finance,bnk,시각장애인 금융 정보 접근성 향상을 위한 서비스 개시 부산은행은 시각장애인 다문화가정 외국인 등을 위한 점자 음성변환용 소프트웨어인 보이스 아이 VOICEYE를 도입하여 운영하고 있습니다,S
2020,Heavy industry,doosan_heavy_industries,연결재무제표에 대한 주석 -7은 -7년 -7월 -7일로 종료되는 보고 기간에 당기순손실 -7백만 원이 발생하였고 재무제표일 현재로 연결실체의 유동 차입금이 -7백만 원이며 유동부채가 유동자산보다 -7백만 원만큼 더 많음을 나타내고 있습니다,I
2014,Finance,bnk,투자와 재투자를 통한 성장이 계속될 수 있도록 이익의 환원이 이루어지고 투자 과정에서 발생하는 이익의 일부를 기타 이해관계자에게 배분할 수 있는 선순환적인 고리를 구축하는 것은 지속적인 성장을 위해 필수적입니다,G
2020,Automobile,kia_motors,기아자동차는 안정적인 생산 역량 위에 유럽피안 스타일의 디자인을 갖춤으로써 유럽 시장에서 굳 건한 위치를 확보할 수 있었습니다,I
2013,Finance,kb,이와 함께 사회적 책임과 역할을 실천하기 위한 그동안의 노력에 더하여 앞으로도 더욱 진정성 있는 나눔과 봉사활동을 펼치고 기후변화 등 환경 이슈에 대해서도 적극 대응함으로써 우리 사회와 함께하는 따뜻한 내일을 만들어 갈 수 있도록 최선을 다하겠습니다,R
2009,Aviation,asiana_air,미국 LA 여객 지점 아름다운 사람들 LA 여객 지점에서는 매월 -7회 Downtown LATowne -7th에서 길에서 받는 따뜻한 아침상을 슬로건으로 노숙자들에게 아침 제공 봉사활동을 실시하고 있으며 LA 한인 청소년과 함께 LA 지역 강 주변 환경정화 캠프 인을 펼치고 있습니다,R
2008,Electronics,lg_electronics,또한 한층 높아진 소비자의 친환경 제품에 대한 니즈에 부응할 수 있도록 친환경 마크 인증 제품을 지속적으로 확대하고 있습니다,E
2017,Finance,hana,손님 은 어머니에게 명의도용 사건이 발생하여 -7만 원을 입금하지 않으면 손님도 공범이 된다는 보이스피싱 범죄조직의 말에 속아 -7시간째 장소를 이동하며 끌려다녔다는 것을 알고 경찰에 신고하여 정식 지급정지 등 록을 진행하는 것으로 마무리되었습니다,I
2019,Finance,kb,또한 ABCDE 디지털 신기술 역량 강화 프로그램 운영과 더불어 IT 기술혁신 센터를 신설하여 전 직원이 변화혁신을 인지하고 지속적으로 연관 프로그램에 동참할 수 있도록 지원하고 있습니다,S
2019,Electronics,lg_electronics,LG전자는 이러한 글로벌 동향과 산업계 변화를 바탕으로 현재와 미래 세대를 위한 생태적 환경을 보호하면서도 기업의 경제적 가치를 증진시킬 수 있는 그린 비즈니스를 확대해 나갈 것입니다,E
2019,Finance,hana,KEB 하나은행의 하이 로보 HAI ROBO는 로봇과 투자 자문 전문가의 합성어인 로보 어드바이저 Robo Advisor로써 손님의 투자 성향을 파악하고 고객 개 개인에 적합한 투자 포트폴리오를 제공해 자동으로 자산을 관리해 주는 알고리즘 로봇입니다,S
2005,Aviation,korean_air,현재 ICAO에서 국제항공운송 온실가스 배출 저감을 위해 가장 적극적으로 검토하고 있는 제도임,E
2019,Heavy industry,hyundai_heavy_industries,윤리경영 추구 방향과 체계 실천 프로그램을 소개하고 비윤리적 경영행위를 제보받는 등 공정하고 투명한 경영을 실천하는 데 앞장서고 있습니다,G
2010,Finance,shinhan,중장기적인 지속 가능경영 추진 계획 및 목표를 수립하고 이에 대한 성과를 보고서에 기술할 것을 권장합니다,R
2016,Finance,shinhan,협력회사가 행동 규범을 충분히 인지하고 적절히 준수하고 있는지 확인하기 위해 자가 진단 설문을 시행하는 한편 주요 협력회사를 대상으로 근로자의 기본적 인권 존중 사업장의 안전과 보건 환경 기업윤리의 -7개 부문에 관한 사회 책임경영 현황을 확인하고 결과 피드백을 통해 지속 가능경영을 실천할 수 있도록 지원하고 있습니다,R
2018,Electronics,samsung_electronics,세무관리를 통한 지역사회 발전 기여 삼성전자는 지역사회의 경제발전에 많은 기여를 하고 있습니다,S
2015,Automobile,kia_motors,기아자동차는 공장에서 발생되는 대기오염물질을 최소화하기 위해 공정에서 발생하는 미세먼지를 제거하는 설비를 운용하고 있습니다,E
2010,Automobile,hyundai_motors,또한 경영이념 사회 책임 헌장 글로벌 환경 이념에도 인류의 풍요로운 삶에 기여하고 모든 이해관계자와의 상생과 공영을 추구함이 명시되어 있다,S
2013,Heavy industry,samsung_heavy_industries,조선경기 불황과 관광객 감소 등으로 위축된 지역 경제에 활력을 불어넣고자 -7억 원어치의 거제사랑상품권을 구매했습니다,S
2019,Finance,hana,또한 금융소비자 중 심의 영업 프로세스 구현을 위해 영업행위 윤리 준 칙을 새로 제정하고 실천 서약식을 진행했습니다,G
2020,Steel industry,posco,사업 리스크 관리는 전략기획본부 -7개 실에서 총괄하고 있습니다,G
2016,Electronics,samsung_electronics,-7년까지 청년 및 장애인을 포함한 모든 여성과 남성을 위한 생산적 완전고용과 양질의 일자리 창출 및 동일가치노동에 대한 동일 임금을 달성,S
2017,Finance,shinhan,본 보고서에는 지속 가능발전 목표 SDGs에 관한 기업 행동 지침에 기반한 지속 가능발전 목표 설정 및 참여 실적을 보고하고 있으며 기업과 인권 이행 지침 UNGP UN Guiding Principles on Business and Human Rights에 따른 인권 이행 현황을 함께 다루고 있습니다,R
2015,Heavy industry,hyundai_heavy_industries,윤리경영 교육 기존 신입사원 및 승진자로 국한되던 윤리경영 집합교 육 대상을 대폭 확대하였습니다,R
2015,Steel industry,posco,온 실가스 배출량 산정에는 포항제철소 및 광양제철소를 비롯하여 포스코센터 송도 글로벌 RD 센터 등 총 -7개의 사업장을 포함하고 있습니다,E
2012,Aviation,korean_air,향후에는 항공 산업과 연관된 보다 세부적이고 다양한 이슈를 이슈 풀에 추가하여 관리하고 중대성 평가 방법 및 프로세스도 보다 정교하게 관리할 수 있도록 이해관계자 관리 체계를 구축하여 주요 이슈에 대해 적극적으로 대응할 것을 권고 드립니다,R
2020,Finance,hana,해당 토픽은 미디어 분석 동종기업 벤치마킹 내외부 이해관계자 설문조사 등을 기반으로 도출되었습니다,G
2014,Aviation,asiana_air,지속가능성 이슈를 발굴하기 위해 KSI 조사에 응답한 -7명고 객 -7 지역사회 주민 -7 -7 투자 기관 -7 미디어 -7 -7 등의 의견을 분석하여 -7개의 관련 이슈를 도출하였습니다,R
2017,Heavy industry,hyundai_heavy_industries,-7년 -7월 -7일 기준 현대중공업 이사회는 -7명의 사내이사와 -7명의 사외이사 등 총 -7명으로 구성되어 있으며 이사회 내에는 감사위원회 사외이사 후보추천 위원회 내부거래 위원회 등 -7개의 소위원회가 있습니다,G
2017,Finance,shinhan,환경사회적 리스크 관리 환경 변화에 대한 적극적인 대응과 지속적인 환경 효용성 관리를 통해 탄소중립을 실현하고 환경의 중요성에 대한 인식을 이해관계자들과 공유하여 환경경영의 사회적 확산에 기여하겠습니다,E
2015,Electronics,samsung_electronics,모든 임직원은 각 국가별 독점금지법 공정경쟁 법 등 건전한 경쟁을 촉진하는 법률 및 규정을 준수해야 하며 회사의 공정거래 관련 정책에 따라 가격 고정 입찰담합 시장의 분배 및 분할 시장지배적 지위 남용 구속 조건부 거래 등 불공정행위를 금해야 합니다,G
2014,Finance,bnk,지역 서민을 위해 대부 업체 등 고금리 대출의 저금리 대출로의 전환을 지원하여 햇살 론 -7억 원의 성과를 달성하였습니다,S
2006,Electronics,samsung_electronics,또한 기획 단계에서 예상하지 못했던 미량의 악취까지 제거하기 위해 침전조 상부도 밀폐시켜 근원적인 악취발생을 억제하고 있습니다,E
2014,Finance,shinhan,다우존스 지속 가능경영 지수에서는 국내 금융그룹 중 처음으로 월드 지수 DJSI World에 편입되었습니다,R
2012,Electronics,samsung_electronics,이를 위해 각종 위법과 부정행위를 명백한 해사 행위로 단정하고 이를 근절하기 위한 근본적이고 구체적인 현실적 대안을 수립하는 데에 총력을 기울여왔습니다,G
2017,Heavy industry,hyundai_heavy_industries,임직원의 윤리의식 제고를 위해 이해관계 신고서 제출 대상을 임원 특정 직무 직원 지 그 책자에서 사 무기술직 전 직원 및 생산기술직 팀장 이상으로 확대하겠습니다,G
2014,Heavy industry,hyundai_heavy_industries,직무 및 전 산 어학 등 -7개 과정 사이버 강좌를 개방하여 협력회사 임직원이 수강할 수 있는 기회를 마련하였으며 -7년 동반성장 교육지원센터를 개소하여 -7차 협력회사를 대상으로 -7개 과정과 교재 및 식사를 무상으로 지원하였습니다,S
2016,Finance,shinhan,보고 범위에 주의가 필요한 사항에 대해서는 독자의 혼선을 줄이기 위해 별도 설명을 기재하고 있으며 독자의 편의를 위해 기업 명의 약어를 사용하고 있습니다,I
2013,Heavy industry,doosan_heavy_industries,신제품 발굴 단계에서부터 사업부의 니즈에 맞추어 비전을 설정하고 과제를 우선순위화함으로써 신속하게 대응할 수 있도록 PLMProduct Line Management 조직을 사업부에 전진 배치하였으며 국책과제 프로세스를 갖추어 개발된 과제의 사업화 가능성을 제고함으로써 보다 나은 제품과 서비스를 시장에 제공하고 있습니다,S
2019,Finance,bnk,사외이사의 임기를 -7년으로 정하고 연속하여 최대 -7년을 초과할 수 없도록 하여 유착관계 방지 -7,G
2016,Aviation,asiana_air,환경과 사회에 공헌하며 성장을 지속하는 아름다운 기업으로 사랑받을 수 있도록 창업 초심의 열정으로 노력하겠습니다,R
2009,Aviation,korean_air,단순한 수익창출에서 그치지 않고 모든 이해관계자의 행복을 창출하는 것이 바로 대한항공이 지향하는 기업의 모습입니다,R
2019,Electronics,samsung_electronics,많은 부서의 내부 구성원들이 오랜 시간 함께 진지한 토론을 하고 각계의 외부 전문가들과 임직원들의 심층 인터뷰도 진행하였습니다,S
2013,Automobile,hyundai_motors,아산공장은 -7년 KOSHA -7 인증을 획득에 이어 -7년 -7월 OHSAS -7도 획득하였습니다,I
2014,Heavy industry,hyundai_heavy_industries,재무 데이터를 포함한 경제 성과는 내부 문서와 회계감사 기관의 감사를 받은 재무제표와 대비하여 검증되었으며 검증 심사팀은 경제성과 작성을 위한 데이터 취합 및 산 정 프로세스를 검토했습니다,I
2016,Automobile,kia_motors,K -7는 신차의 안전성을 평가하는 NCAPNew Car Assessment Program 결과 국내의 KNCAP에서 최고 등급으로 분류되었고 Euro NCAP에서는 스포티지와 함께 최고 등급을 받았습니다,I
2017,Finance,hana,하나금융그룹은 전사적으로 추진하고 있는 Lets 스 마 일 스마트하게 일하기의 시작점이자 직 원들의 업무 효율성 증대 관점에서 Paperless 제도를 중점적으로 시행하고 있습니다,E
2015,Automobile,kia_motors,여기에 연비와 주행감을 높이는 하이브리드 전용 -7단 변속기가 탑재된 K -7 HEV의 연비는 K -7 수준인 -7 km 입니다,E
2016,Aviation,korean_air,공급망에서 발생할 수 있는 지속 가능경영 이슈에 대한 관리와 개선을 진행한다면 대한항공의 지속가능성은 보다 높아질 수 있을 것입니다,R
